pgm,end_pgm,semicolon,comma,assign,identifier,squarebeg,squareend,dlint,dlreal,dlstring,dlchar,dlbool,dlarray,lit_int,lit_real,lit_char,lit_string,lit_bool,or,and,eq,diff,smaller,smallere,,greater,greatere,plus,minus,mult,pow,unary,not,parenthbeg,parenthend,dlwhile,dlif,dlelse,print,read,main,func,dlvoid,keybeg,keyend,dlreturn,$
s2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s7, ,s9, , , , 
 ,s16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r3, , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s7, ,s9, , , , 
 ,r5, , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s7, ,s9, , , , 
 , ,s19,s20,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s23, , , 
 , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s24, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s26, , , , , 
 , , , , ,r12,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r12, , , , , 
 , , , , ,r13,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r13, , , , , 
 , , , , ,r14,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r14, , , , , 
 , , , , ,r15,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r15, , , , , 
 , , , , ,r16,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r16, , , , , 
 , , , , ,r17,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r17, , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1
 ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r6, , , ,r6, , ,r6,r6,r6,r6,r6,r6, , , , , , , , , , , , , , , , , , , , , , ,r6,r6, ,r6,r6,r6, ,r6, ,r6,r6, 
 , , , , , , , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 ,r62, , , , , , ,r62,r62,r62,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r62, ,r62, , , , 
 , , , , ,s57, , ,s10,s11,s12,s13,s14,s15, , , , , , , , , , , , , , , , , , , , , , ,s58,s59, ,s60,s61, , , , ,s47,s56, 
 , , , , ,s62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,r10,r10,r10, ,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r10, , , , , , , , , , , , 
 , , , , ,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,r7, , , ,r7, , ,r7,r7,r7,r7,r7,r7, , , , , , , , , , , , , , , , , , , , , , ,r7,r7, ,r7,r7,r7, ,r7, ,r7,r7, 
 , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,s65,s66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,r23,r23, , , ,r23, , , , , , , , , , , ,s67, , , , , , , , , , , , , , , ,r23, , , , , , , , , , , , 
 , ,r25,r25, , , ,r25, , , , , , , , , , , ,r25,s68, , , , , , , , , , , , , , ,r25, , , , , , , , , , , , 
 , ,r27,r27, , , ,r27, , , , , , , , , , , ,r27,r27,s69, , , , , , , , , , , , , ,r27, , , , , , , , , , , , 
 , ,r37,r37, , , ,r37, , , , , , , , , , , ,r37,r37,r37,s70,s71,s72,s73, ,s74,r37,r37,s75, , , , ,r37, , , , , , , , , , , , 
 , ,r34,r34, , , ,r34, , , , , , , , , , , ,r34,r34,r34, , , , , , ,s76,s77, , , , , ,r34, , , , , , , , , , , , 
 , ,r39,r39, , , ,r39, , , , , , , , , , , ,r39,r39,r39,r39,r39,r39,r39, ,r39,r39,r39,r39,s78, , , ,r39, , , , , , , , , , , , 
 , ,r41,r41, , , ,r41, , , , , , , , , , , ,r41,r41,r41,r41,r41,r41,r41, ,r41,r41,r41,r41,r41, , , ,r41, , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
 , , , , ,s40, , , , , , , , ,s42,s43,s44,s45,s46, , , , , , , , , , , , , ,s37,s38,s39, , , , , , , , , , , , , 
